step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
167,61.273780699819326,363.177713,88.0,17681.25,32760.0,193.174,135895.0,3.774861111111111e-05,0.0015099444444444444,0.003243100833333333,0.12972403333333335,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.38671875,30447.0546875,99.9,,
169,62.00427325628698,363.337005,93.0,17681.25,32760.0,192.883,134083.0,3.7245277777777776e-05,0.001489811111111111,0.0032803461111111107,0.13121384444444445,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.38671875,30447.0546875,99.9,,
171,62.73456471040845,363.427966,96.0,17681.25,32760.0,193.223,151391.0,4.205305555555556e-05,0.0016821222222222223,0.0033223991666666663,0.13289596666666667,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.46484375,30447.0546875,101.3,,
173,63.46468956023455,363.06607,88.0,17681.25,32760.0,193.324,133766.0,3.715722222222222e-05,0.0014862888888888888,0.0033595563888888886,0.13438225555555555,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.49609375,30447.0546875,98.6,,
175,64.19527979753911,363.382026,95.0,17681.25,32760.0,193.664,136400.0,3.788888888888889e-05,0.0015155555555555556,0.0033974452777777776,0.1358978111111111,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.49609375,30447.0546875,99.9,,
177,64.92561746016145,363.502268,94.0,17681.25,32760.0,193.365,149635.0,4.1565277777777775e-05,0.001662611111111111,0.0034390105555555553,0.1375604222222222,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.49609375,30447.0546875,99.9,,
179,65.65582904219627,362.864658,88.0,17681.25,32760.0,193.767,134030.0,3.723055555555555e-05,0.001489222222222222,0.003476241111111111,0.13904964444444443,5070.91455078125,16892.0,17022.34765625,515475.12890625,0.5,2219.5859375,30447.0546875,100.0,,
181,66.3860299307853,363.180823,97.0,17681.25,32760.0,193.683,136830.0,3.800833333333333e-05,0.0015203333333333334,0.003514249444444444,0.14056997777777777,5070.91455078125,16892.0,17022.34765625,515475.12890625,0.5,2219.66796875,30447.0546875,100.0,,
183,67.11650836840272,363.322905,92.0,17681.25,32760.0,193.232,148958.0,4.1377222222222225e-05,0.001655088888888889,0.0035556266666666664,0.14222506666666665,5070.91455078125,16892.0,17022.34765625,515475.12890625,0.5,2219.66796875,30447.0546875,100.6,,
185,67.85085627995431,363.338675,88.0,17681.25,32760.0,193.072,135139.0,3.753861111111111e-05,0.0015015444444444444,0.0035931652777777775,0.1437266111111111,5070.91455078125,16892.0,17022.34765625,515475.12890625,0.5,2219.7421875,30447.0546875,100.1,,
187,68.58170941285789,363.03246,98.0,17681.25,32760.0,193.271,136312.0,3.7864444444444445e-05,0.0015145777777777778,0.003631029722222222,0.14524118888888887,5070.91455078125,16892.0,17021.26953125,515475.12890625,0.5,2219.7734375,30447.0546875,99.9,,
189,69.31303014419973,363.497187,91.0,17681.25,32760.0,193.572,149540.0,4.153888888888889e-05,0.0016615555555555554,0.003672568611111111,0.14690274444444443,5070.91455078125,16892.0,17021.26953125,515475.12890625,0.5,2219.7734375,30447.0546875,101.2,,
191,70.04338932782412,363.287804,87.0,17681.25,32760.0,193.536,136608.0,3.794666666666667e-05,0.0015178666666666666,0.003710515277777778,0.1484206111111111,5070.91455078125,16892.0,17021.26953125,515475.12890625,0.5,2219.828125,30447.0546875,99.9,,
193,70.77236699685454,362.613253,100.0,17681.25,32760.0,193.933,135777.0,3.7715833333333336e-05,0.0015086333333333335,0.003748231111111111,0.14992924444444444,5070.91455078125,16892.0,17021.515625,515475.12890625,0.6,2219.828125,30447.0546875,100.1,,
195,71.50402577407658,363.137562,89.0,17681.25,32760.0,193.299,134022.0,3.722833333333333e-05,0.0014891333333333333,0.0037854594444444445,0.15141837777777778,5070.91455078125,16892.0,17021.515625,515475.12890625,0.5,2219.96875,30447.0546875,99.8,,
197,72.23322901688516,363.314835,85.0,17681.25,32760.0,193.595,151490.0,4.2080555555555556e-05,0.0016832222222222222,0.00382754,0.1531016,5070.91455078125,16892.0,17021.515625,515475.12890625,0.5,2219.9765625,30447.0546875,98.7,,
199,72.96333541534841,362.984059,100.0,17681.25,32760.0,193.957,134493.0,3.7359166666666666e-05,0.0014943666666666668,0.0038648991666666668,0.15459596666666667,5070.91455078125,16892.0,17021.515625,515475.12890625,0.5,2219.9765625,30447.0546875,101.4,,
201,73.6930031478405,363.480038,88.0,17681.25,32760.0,194.033,136142.0,3.7817222222222226e-05,0.001512688888888889,0.003902716388888889,0.15610865555555556,5070.91455078125,16892.0,17021.484375,515475.12890625,0.5,2220.0703125,30447.0546875,100.1,,
203,74.42278302274644,363.07632,82.0,17681.25,32760.0,193.385,149783.0,4.1606388888888886e-05,0.0016642555555555555,0.003944322777777778,0.1577729111111111,5070.91455078125,16892.0,17021.71484375,515475.12890625,0.5,2220.0703125,30447.0546875,100.0,,
